问题触发时间,地市,区县,TAC(LAC),数据来源,问题归类(二级),类别要素,主指标表征值,处理优先级,是否为FDD站点,是否指纹库智能分析系统运算,是否列为白名单,是否为性能交维站点,资管生命周期状态,劣化次数,告警触发次数,日均流量(GB),业务要素,场景要素,覆盖类型,覆盖场景,中心经度,中心维度,厂家名称,自愈状态
7月,宁波,宁海,22728,北向性能,无线切换质差,质量,92.16,高,否,否,否,是,现网,3,5,0.01,数据,室外,室外,别墅群,121.506,29.192,中兴,派单
9月,宁波,宁海,22728,北向性能,无线切换质差,质量,92.15,高,否,否,否,是,现网,4,4,0.01,数据,室外,室外,村庄,121.665,29.19,中兴,派单
8月,宁波,余姚,26562,北向性能,无线切换质差,质量,92.64,高,否,否,否,是,现网,3,9,0.01,数据,室外,室外,乡镇,121.137,30.063,诺基亚,派单
8月,宁波,象山,22607,北向性能,VOLTE掉话质差,感知,8.9,高,否,否,否,是,现网,3,6,0,语音,室外,室外,村庄,121.807,29.147,中兴,派单
7月,宁波,江北,22349,北向性能,无线切换质差,质量,89.97,高,否,否,否,是,现网,3,19,0.02,数据,室外,室外,城区道路,121.398,29.976,诺基亚,派单
7月,宁波,宁海,22735,北向性能,无线切换质差,质量,91.07,高,否,否,否,是,现网,4,6,0.01,数据,室外,室外,村庄,121.375,29.278,中兴,派单
10月,宁波,象山,26577,北向性能,无线切换质差,质量,84.26,中,否,否,否,是,现网,3,1,0,数据,室外,室外,写字楼,121.975,29.456,中兴,派单
8月,宁波,镇海,26392,北向性能,无线切换质差,质量,93.56,高,否,否,否,是,现网,3,4,0,数据,室外,室外,低层居民区,121.622,30.064,诺基亚,派单
7月,宁波,海曙,22339,北向性能,无线接通质差,质量,97.12,高,否,否,否,是,现网,3,2,0,数据,室外,室外,城区道路,121.519,29.904,诺基亚,派单
9月,台州,三门,26602,北向性能,VOLTE丢包质差,质量,4.93,高,否,否,否,是,现网,3,1,0.02,语音,室外,室外,低层居民区,121.327,29.091,中兴,派单
9月,台州,三门,26602,北向性能,VOLTE丢包质差,质量,9.41,高,否,否,否,是,现网,3,1,0.02,语音,室外,室外,低层居民区,121.342,29.096,中兴,派单
9月,台州,三门,26602,北向性能,无线接通质差,质量,87.2,中,否,否,否,是,现网,3,1,0.02,数据,室外,室外,低层居民区,121.342,29.096,中兴,派单
9月,台州,三门,26602,北向性能,无线接通质差,质量,89.06,中,否,否,否,是,现网,3,1,0.02,数据,室外,室外,低层居民区,121.342,29.096,中兴,派单
9月,台州,三门,26602,北向性能,VOLTE丢包质差,质量,10.06,高,否,否,否,是,现网,3,1,0.02,语音,室外,室外,低层居民区,121.342,29.096,中兴,派单
7月,台州,温岭,26607,北向性能,无线切换质差,质量,92.58,高,否,否,否,是,现网,4,4,0.01,数据,室外,室外,村庄,121.32,28.448,中兴,派单
7月,台州,椒江,22757,SEQ,语音质差,感知,6.86,高,否,否,否,是,现网,3,4,0.04,语音,室分,室内,企事业单位,121.405,28.658,中兴,派单
9月,台州,椒江,22757,SEQ,CSFB回落质差,质量,68.54,高,否,否,否,是,现网,3,3,0.03,语音,室分,室内,商业中心,121.41,28.654,中兴,派单
8月,台州,椒江,26606,北向性能,无线切换质差,质量,93.26,高,否,否,否,是,现网,3,4,0,数据,室分,室内,高层居民区,121.39,28.667,中兴,派单
7月,台州,温岭,22381,北向性能,无线切换质差,质量,93.62,高,否,否,否,是,现网,3,3,0.01,数据,室分,室内,火车站,121.321,28.483,中兴,派单
8月,台州,黄岩,26548,北向性能,无线切换质差,质量,91.49,高,否,否,否,是,现网,5,7,0,数据,室外,室外,乡镇,121.036,28.522,中兴,派单
8月,台州,椒江,22380,北向性能,无线切换质差,质量,80.74,高,否,否,否,是,现网,4,4,0,数据,海域,室外,近水近海域,121.904,28.447,中兴,派单
9月,金华,东阳,26631,北向性能,无线切换质差,质量,84.31,高,否,否,否,是,现网,3,3,0,数据,室外,室外,村庄,120.258,29.302,诺基亚,派单
10月,金华,金东,22679,北向性能,RRC重建比质差,质量,17.2,高,否,否,否,是,现网,5,8,0.01,数据,室外,室外,村庄,119.764,29.192,华为,派单
10月,金华,兰溪,26752,北向性能,无线接通质差,质量,96.63,高,否,否,否,是,现网,4,16,0,数据,室外,室外,乡镇,119.369,29.231,诺基亚,派单
7月,金华,兰溪,22686,北向性能,VOLTE掉话质差,感知,3.92,高,否,否,否,是,现网,5,15,0.01,语音,室外,室外,工业园区,119.463,29.284,诺基亚,派单
9月,金华,兰溪,22419,北向性能,无线接通质差,质量,85.56,高,否,是,否,是,现网,3,3,0,数据,室外,室外,乡镇,119.812,29.361,诺基亚,派单
10月,金华,兰溪,26780,北向性能,VOLTE丢包质差,质量,4.04,高,否,否,否,是,现网,3,2,0.01,语音,室外,室外,村庄,119.497,29.135,诺基亚,派单
9月,金华,磐安,22422,北向性能,无线切换质差,质量,90.46,高,否,是,否,是,现网,5,31,0.01,数据,室外,室外,乡镇,120.377,28.949,诺基亚,派单
9月,金华,武义,26635,北向性能,无线接通质差,质量,95.53,高,否,是,否,是,现网,3,5,0,数据,室外,室外,工业园区,119.953,28.856,诺基亚,派单
9月,金华,武义,26635,北向性能,无线接通质差,质量,95.96,高,否,是,否,是,现网,3,5,0,数据,室外,室外,工业园区,119.953,28.856,诺基亚,派单
9月,金华,武义,26635,北向性能,无线接通质差,质量,94.65,高,否,是,否,是,现网,5,4,0.01,数据,室外,室外,工业园区,119.953,28.856,诺基亚,派单
8月,金华,永康,26771,北向性能,无线切换质差,质量,92.36,高,否,否,否,是,现网,4,4,0.01,数据,室外,室外,工业园区,120.143,28.967,诺基亚,派单
9月,金华,永康,26771,北向性能,无线切换质差,质量,93.17,高,否,是,否,是,现网,3,10,0,数据,室外,室外,国道省道,120.134,28.966,诺基亚,派单
7月,金华,永康,22425,北向性能,无线切换质差,质量,87.18,高,否,否,否,是,现网,5,19,0.02,数据,室外,室外,村庄,120.072,28.993,诺基亚,派单
7月,金华,永康,26753,北向性能,无线切换质差,质量,92.37,高,否,否,否,是,现网,4,5,0,数据,室外,室外,村庄,120.049,28.862,诺基亚,派单
8月,金华,永康,26753,北向性能,无线切换质差,质量,92.75,高,否,否,否,是,现网,5,8,0,数据,室外,室外,村庄,120.049,28.862,诺基亚,派单
8月,金华,东阳,22687,北向性能,VOLTE丢包质差,质量,6.92,高,否,否,否,是,现网,4,7,0,语音,小微站,室内,风景区,120.313,29.141,诺基亚,派单
8月,金华,东阳,22687,北向性能,VOLTE丢包质差,质量,4.55,高,否,否,否,是,现网,3,2,0,语音,室分,室内,风景区,120.312,29.141,诺基亚,派单
8月,金华,东阳,22430,北向性能,无线接通质差,质量,97.06,高,否,否,否,是,现网,3,2,0,数据,室分,室内,高层居民区,120.235,29.275,诺基亚,派单
7月,金华,东阳,26627,北向性能,无线切换质差,质量,89.87,高,否,否,否,是,现网,4,4,0.01,数据,室分,室内,星级酒店,120.183,29.287,诺基亚,派单
8月,金华,义乌,22684,北向性能,无线切换质差,质量,91.94,高,否,否,否,是,现网,5,7,0,数据,室外,室外,村庄,120.013,29.372,华为,派单
8月,金华,义乌,22684,北向性能,RRC重建比质差,质量,17.44,高,否,否,否,是,现网,7,11,0.02,数据,室外,室外,村庄,120.04,29.391,华为,派单
8月,金华,义乌,26556,北向性能,无线接通质差,质量,95.28,高,否,否,否,是,现网,5,9,0,数据,室外,室外,村庄,120.079,29.453,华为,派单
8月,金华,义乌,26556,北向性能,无线接通质差,质量,95.05,高,否,否,否,是,现网,3,2,0,数据,室外,室外,村庄,120.079,29.453,华为,派单
8月,金华,义乌,22684,北向性能,RRC重建比质差,质量,15.44,高,否,否,否,是,现网,5,5,0,数据,室外,室外,村庄,119.93,29.253,华为,派单
10月,金华,义乌,22684,北向性能,无线接通质差,质量,96,高,否,是,否,是,现网,3,12,0,数据,室外,室外,村庄,119.936,29.255,华为,派单
8月,金华,义乌,22673,北向性能,RRC重建比质差,质量,14,高,否,否,否,是,现网,3,2,0.01,数据,室外,室外,村庄,119.913,29.315,华为,派单
7月,金华,义乌,26756,SEQ,CSFB回落质差,质量,94.78,高,否,否,否,是,现网,3,3,0.05,语音,室外,室外,村庄,119.999,29.276,华为,派单
8月,金华,义乌,22428,北向性能,RRC重建比质差,质量,15.85,高,否,否,否,是,现网,4,8,0.01,数据,室外,室外,村庄,119.943,29.206,华为,派单
10月,金华,磐安,22422,北向性能,无线接通质差,质量,96.5,高,否,否,否,是,现网,3,13,0,数据,室外,室外,村庄,120.551,28.943,诺基亚,派单
10月,金华,东阳,22431,北向性能,无线接通质差,质量,95.86,高,否,否,否,是,现网,3,3,0,数据,室外,室外,村庄,120.407,29.363,诺基亚,派单
9月,金华,东阳,26754,北向性能,无线切换质差,质量,61.92,高,否,是,否,是,现网,7,26,0.01,数据,高速,室外,高速公路,120.258,29.314,诺基亚,派单
10月,金华,东阳,26754,北向性能,无线切换质差,质量,79.15,高,否,否,否,是,现网,6,22,0.01,数据,高速,室外,高速公路,120.258,29.314,诺基亚,派单
10月,金华,东阳,26754,北向性能,无线切换质差,质量,92.24,高,否,否,否,是,现网,3,2,0,数据,室外,室外,村庄,120.258,29.314,诺基亚,派单
9月,金华,东阳,26754,北向性能,RRC重建比质差,质量,23.99,高,否,否,否,是,现网,7,25,0,数据,室外,室外,村庄,120.258,29.314,诺基亚,派单
9月,金华,东阳,26754,北向性能,无线切换质差,质量,70.83,高,否,是,否,是,现网,7,25,0,数据,室外,室外,村庄,120.258,29.314,诺基亚,派单
10月,金华,东阳,26754,北向性能,无线切换质差,质量,69.27,高,否,否,否,是,现网,7,22,0,数据,室外,室外,村庄,120.258,29.314,诺基亚,派单
10月,金华,东阳,26754,北向性能,RRC重建比质差,质量,21.66,高,否,否,否,是,现网,7,22,0,数据,室外,室外,村庄,120.258,29.314,诺基亚,派单
9月,金华,东阳,26513,SEQ,CSFB回落质差,互操作,64.61,高,否,否,否,是,现网,5,3,0.01,语音,高速,室外,高速公路,120.399,29.273,诺基亚,派单
9月,金华,东阳,26781,北向性能,无线接通质差,质量,96.24,高,否,是,否,是,现网,3,3,0,数据,室外,室外,村庄,120.387,29.22,诺基亚,派单
8月,绍兴,上虞,22613,北向性能,RRC重建比质差,质量,13.42,高,否,否,否,是,现网,3,3,0.01,数据,室外,室外,低层居民区,120.838,30.142,华为,派单
8月,绍兴,上虞,26450,北向性能,RRC重建比质差,质量,15.64,高,否,否,否,是,现网,5,5,0.01,数据,室外,室外,低层居民区,120.924,29.956,华为,派单
8月,绍兴,嵊州,22612,北向性能,无线切换质差,质量,92.25,高,否,否,否,是,现网,3,4,0.04,数据,室外,室外,乡镇,120.703,29.618,华为,派单
8月,绍兴,嵊州,22612,北向性能,无线切换质差,质量,93.7,高,否,否,否,是,现网,3,3,0,数据,室外,室外,乡镇,120.703,29.61,华为,派单
9月,绍兴,诸暨,26460,北向性能,RRC重建比质差,质量,13.28,高,否,否,否,是,现网,3,7,0.01,数据,室外,室外,村庄,120.255,29.919,华为,派单
8月,绍兴,嵊州,26455,北向性能,VOLTE丢包质差,质量,5,高,否,否,否,是,现网,3,2,0.01,语音,室外,室外,村庄,120.794,29.592,华为,派单
9月,绍兴,诸暨,22364,北向性能,无线切换质差,质量,89.8,高,否,否,否,是,现网,5,5,0.02,数据,室外,室外,村庄,120.166,29.654,华为,派单
8月,绍兴,诸暨,22623,北向性能,无线切换质差,质量,92.61,高,否,否,否,是,现网,4,8,0.02,数据,室外,室外,风景区,120.363,29.899,华为,派单
7月,绍兴,越城,26532,北向性能,无线接通质差,质量,96.14,高,否,否,否,是,现网,4,8,0,数据,室外,室外,休闲娱乐场所,120.565,30.007,华为,派单
9月,绍兴,诸暨,22364,北向性能,RRC重建比质差,质量,11.81,高,否,否,否,是,现网,3,3,0,数据,室外,室外,低层居民区,120.131,29.586,华为,派单
9月,绍兴,诸暨,22364,北向性能,RRC重建比质差,质量,19.15,高,否,否,否,是,现网,5,6,0.01,数据,室外,室外,村庄,120.196,29.651,华为,派单
7月,绍兴,诸暨,22364,北向性能,无线切换质差,质量,85.19,高,否,否,否,是,现网,3,11,0.02,数据,室外,室外,低层居民区,120.127,29.566,华为,派单
9月,绍兴,诸暨,26460,北向性能,RRC重建比质差,质量,16.82,高,否,否,否,是,现网,3,2,0,数据,室外,室外,低层居民区,120.201,29.861,华为,派单
9月,绍兴,诸暨,26460,北向性能,RRC重建比质差,质量,22.47,高,否,否,否,是,现网,3,6,0,数据,室外,室外,低层居民区,120.201,29.861,华为,派单
8月,绍兴,诸暨,26460,北向性能,RRC重建比质差,质量,9.73,高,否,否,否,是,现网,3,4,0.01,数据,室外,室外,低层居民区,120.19,29.853,华为,派单
9月,绍兴,诸暨,22364,北向性能,RRC重建比质差,质量,20.64,高,否,否,否,是,现网,4,2,0.01,数据,室外,室外,低层居民区,120.266,29.627,华为,派单
7月,绍兴,绍兴,22358,北向性能,无线接通质差,质量,94.2,高,否,否,否,是,现网,7,19,0,数据,室分,室内,高层居民区,120.482,30.094,华为,派单
9月,绍兴,绍兴,22358,北向性能,无线接通质差,质量,95.44,高,否,是,否,是,现网,6,2,0,数据,室分,室内,高层居民区,120.482,30.094,华为,派单
9月,绍兴,诸暨,22623,北向性能,VOLTE接通质差,质量,94.5,高,否,是,否,是,现网,3,9,0.01,语音,室外,室外,乡镇,120.333,29.856,华为,派单
7月,绍兴,诸暨,22623,北向性能,无线切换质差,质量,92.02,高,否,否,否,是,现网,3,3,0.01,数据,室外,室外,低层居民区,120.419,29.856,华为,派单
7月,绍兴,诸暨,22364,北向性能,RRC重建比质差,质量,30.06,高,否,否,否,是,现网,3,10,0,数据,高速,室外,高速公路,120.111,29.551,华为,派单
8月,绍兴,诸暨,22364,北向性能,RRC重建比质差,质量,33.76,高,否,否,否,是,现网,5,13,0,数据,高速,室外,高速公路,120.111,29.551,华为,派单
7月,绍兴,绍兴,22610,北向性能,无线切换质差,质量,93.52,高,否,否,否,是,现网,3,7,0.01,数据,室外,室外,村庄,120.453,30.023,华为,派单
7月,绍兴,诸暨,26460,北向性能,VOLTE掉话质差,感知,7.69,高,否,否,否,是,现网,5,7,0,语音,室外,室外,郊区道路,120.146,29.771,华为,派单
8月,绍兴,诸暨,26460,北向性能,RRC重建比质差,质量,14.96,高,否,否,否,是,现网,3,4,0.01,数据,室外,室外,低层居民区,120.121,29.772,华为,派单
7月,绍兴,诸暨,26711,北向性能,无线切换质差,质量,93.81,高,否,否,否,是,现网,4,6,0.04,数据,室外,室外,乡镇,120.151,29.712,华为,派单
10月,绍兴,诸暨,26709,北向性能,RRC重建比质差,质量,15.91,高,否,否,否,是,现网,6,9,0.01,数据,室外,室外,村庄,120.191,29.739,华为,派单
9月,绍兴,诸暨,26709,北向性能,RRC重建比质差,质量,18.85,高,否,否,否,是,现网,7,13,0,数据,室外,室外,村庄,120.191,29.739,华为,派单
8月,绍兴,诸暨,26704,北向性能,无线切换质差,质量,74.67,高,否,否,否,是,现网,5,10,0.02,数据,室外,室外,村庄,120.171,29.741,华为,派单
7月,绍兴,越城,26531,北向性能,无线接通质差,质量,96.03,高,否,否,否,是,现网,3,3,0.01,数据,室分,室内,高层居民区,120.584,29.982,华为,派单
9月,绍兴,越城,26534,北向性能,无线接通质差,质量,96.32,中,否,是,否,是,现网,3,1,0.01,数据,室外,室外,乡镇,120.616,30.007,华为,派单
8月,绍兴,越城,26534,北向性能,无线切换质差,质量,92.5,高,否,否,否,是,现网,4,4,0,数据,室外,室外,城区道路,120.6,30.019,华为,派单
10月,绍兴,上虞,22357,北向性能,RRC重建比质差,质量,16.03,高,否,否,否,是,现网,4,4,0,数据,室外,室外,乡镇,120.802,30.081,华为,派单
9月,绍兴,上虞,22620,北向性能,无线切换质差,质量,91.73,高,否,是,否,是,现网,3,9,0,数据,室外,室外,村庄,120.896,30.027,华为,派单
8月,绍兴,新昌,26459,北向性能,RRC重建比质差,质量,14.7,高,否,否,否,是,现网,3,8,0.01,数据,室外,室外,低层居民区,120.989,29.452,华为,派单
8月,绍兴,上虞,22613,北向性能,RRC重建比质差,质量,13.05,高,否,否,否,是,现网,3,4,0.01,数据,室外,室外,低层居民区,120.761,30.122,华为,派单
7月,绍兴,上虞,22357,北向性能,无线切换质差,质量,91.48,高,否,否,否,是,现网,4,4,0.01,数据,室外,室外,低层居民区,120.982,30.055,华为,派单
8月,绍兴,上虞,26450,北向性能,无线切换质差,质量,91.72,高,否,否,否,是,现网,4,4,0.01,数据,室外,室外,低层居民区,121.028,29.841,华为,派单
7月,绍兴,上虞,22357,北向性能,无线切换质差,质量,88.19,高,否,否,否,是,现网,4,4,0,数据,高速,室外,高速公路,120.939,30.045,华为,派单
8月,绍兴,上虞,26450,北向性能,RRC重建比质差,质量,10.82,高,否,否,否,是,现网,3,3,0.03,数据,室外,室外,低层居民区,120.926,30.029,华为,派单
7月,绍兴,上虞,22613,北向性能,无线切换质差,质量,92.08,高,否,否,否,是,现网,4,3,0.02,数据,小微站,室外,低层居民区,120.76,30.179,华为,派单
10月,绍兴,上虞,22613,北向性能,无线切换质差,质量,93.05,高,否,是,否,是,现网,3,8,0.01,数据,室外,室外,低层居民区,120.76,30.179,华为,派单
7月,绍兴,上虞,22357,北向性能,无线切换质差,质量,91.94,高,否,否,否,是,现网,5,6,0.01,数据,室外,室外,低层居民区,120.957,30.049,华为,派单
8月,绍兴,上虞,22362,北向性能,无线掉线质差,质量,2.18,中,否,是,否,是,现网,3,1,0,数据,小微站,室外,村庄,120.854,29.892,华为,派单
7月,嘉兴,平湖,22332,北向性能,VOLTE丢包质差,质量,5.66,高,否,否,否,是,现网,5,7,0,语音,室外,室外,工业园区,121.057,30.628,中兴,派单
8月,嘉兴,海宁,22588,北向性能,无线切换质差,质量,93.55,高,否,否,否,是,现网,3,3,0,数据,室外,室外,风景区,120.532,30.405,中兴,派单
8月,嘉兴,海宁,22590,北向性能,无线接通质差,质量,95.08,高,否,否,否,是,现网,3,3,0.01,数据,室外,室外,乡镇,120.66,30.471,中兴,派单
9月,嘉兴,海宁,22587,北向性能,无线接通质差,质量,93.2,高,否,否,否,是,现网,4,4,0,数据,高校,室外,高校,120.43,30.422,中兴,派单
8月,嘉兴,海宁,22590,北向性能,VOLTE丢包质差,质量,9.24,高,否,否,否,是,现网,5,7,0.01,语音,室外,室外,乡镇,120.654,30.456,中兴,派单
10月,嘉兴,桐乡,22578,北向性能,无线掉线质差,质量,5.53,高,否,是,否,是,现网,5,5,0,数据,室外,室外,企事业单位,120.344,30.578,中兴,派单
10月,嘉兴,桐乡,22578,北向性能,无线切换质差,质量,49.2,高,否,是,否,是,现网,5,5,0.01,数据,室外,室外,企事业单位,120.344,30.578,中兴,派单
10月,嘉兴,桐乡,22578,北向性能,VOLTE掉话质差,感知,7.8,高,否,否,否,是,现网,4,4,0.01,语音,室外,室外,企事业单位,120.344,30.578,中兴,派单
10月,嘉兴,桐乡,22578,北向性能,VOLTE掉话质差,感知,3.86,高,否,否,否,是,现网,4,4,0.01,语音,室外,室外,企事业单位,120.344,30.578,中兴,派单
10月,嘉兴,桐乡,22578,北向性能,无线切换质差,质量,62.28,高,否,是,否,是,现网,4,4,0.01,数据,室外,室外,企事业单位,120.344,30.578,中兴,派单
10月,嘉兴,桐乡,22578,北向性能,无线掉线质差,质量,5.04,高,否,是,否,是,现网,5,5,0.01,数据,室外,室外,企事业单位,120.344,30.578,中兴,派单
10月,嘉兴,桐乡,22578,北向性能,VOLTE掉话质差,感知,5.51,高,否,否,否,是,现网,4,4,0.01,语音,室外,室外,企事业单位,120.344,30.578,中兴,派单
10月,嘉兴,桐乡,22578,北向性能,无线掉线质差,质量,5.81,高,否,是,否,是,现网,5,5,0.01,数据,室外,室外,企事业单位,120.344,30.578,中兴,派单
10月,嘉兴,桐乡,22578,北向性能,无线切换质差,质量,40.26,高,否,是,否,是,现网,5,6,0.01,数据,室外,室外,企事业单位,120.344,30.578,中兴,派单
9月,嘉兴,南湖,26424,北向性能,无线切换质差,质量,92.95,高,否,是,否,是,现网,4,5,0,数据,室外,室外,郊区道路,120.901,30.68,中兴,派单
10月,嘉兴,南湖,22585,北向性能,无线接通质差,质量,95.84,高,否,否,否,是,现网,5,7,0.01,数据,高校,室内,高校,120.714,30.74,中兴,派单
10月,嘉兴,南湖,22585,北向性能,无线接通质差,质量,96.42,高,否,否,否,是,现网,5,8,0.01,数据,高校,室内,高校,120.714,30.74,中兴,派单
10月,嘉兴,南湖,22585,北向性能,无线接通质差,质量,96.5,高,否,否,否,是,现网,5,8,0.01,数据,高校,室内,高校,120.714,30.74,中兴,派单
10月,嘉兴,南湖,22585,北向性能,无线接通质差,质量,96.16,高,否,否,否,是,现网,5,7,0,数据,高校,室内,高校,120.714,30.74,中兴,派单
10月,嘉兴,南湖,22585,北向性能,无线接通质差,质量,96.16,高,否,否,否,是,现网,5,6,0.01,数据,高校,室内,高校,120.714,30.739,中兴,派单
10月,嘉兴,南湖,22585,北向性能,无线接通质差,质量,96.31,高,否,否,否,是,现网,5,7,0.01,数据,高校,室内,高校,120.714,30.739,中兴,派单
10月,嘉兴,南湖,22585,北向性能,无线接通质差,质量,96.1,高,否,否,否,是,现网,5,7,0.01,数据,高校,室内,高校,120.714,30.739,中兴,派单
10月,嘉兴,南湖,22585,北向性能,无线接通质差,质量,95.89,高,否,否,否,是,现网,5,7,0.01,数据,高校,室内,高校,120.714,30.739,中兴,派单
10月,嘉兴,南湖,22585,北向性能,无线接通质差,质量,95.84,高,否,否,否,是,现网,5,7,0.01,数据,高校,室内,高校,120.714,30.74,中兴,派单
10月,嘉兴,南湖,22585,北向性能,无线接通质差,质量,96,高,否,否,否,是,现网,5,7,0.01,数据,高校,室内,高校,120.714,30.74,中兴,派单
10月,嘉兴,南湖,22585,北向性能,无线接通质差,质量,96.06,高,否,否,否,是,现网,5,7,0.01,数据,高校,室内,高校,120.714,30.74,中兴,派单
10月,嘉兴,南湖,22585,北向性能,无线接通质差,质量,96.78,高,否,否,否,是,现网,5,8,0.01,数据,高校,室内,高校,120.714,30.739,中兴,派单
10月,嘉兴,南湖,22585,北向性能,无线接通质差,质量,96.09,高,否,否,否,是,现网,5,7,0,数据,高校,室内,高校,120.714,30.739,中兴,派单
10月,嘉兴,南湖,22585,北向性能,无线接通质差,质量,96.09,高,否,否,否,是,现网,5,7,0,数据,高校,室内,高校,120.714,30.739,中兴,派单
10月,嘉兴,南湖,22585,北向性能,无线接通质差,质量,95.83,高,否,否,否,是,现网,5,7,0,数据,高校,室内,高校,120.714,30.739,中兴,派单
9月,嘉兴,嘉善,26682,SEQ,CSFB回落质差,质量,95.19,高,否,否,否,是,现网,3,5,0.04,语音,室分,室内,写字楼,120.93,30.837,中兴,派单
9月,嘉兴,嘉善,26682,SEQ,CSFB回落质差,质量,95.33,高,否,否,否,是,现网,3,2,0.04,语音,室分,室内,写字楼,120.93,30.837,中兴,派单
9月,嘉兴,南湖,22324,SEQ,CSFB回落质差,质量,92.7,高,否,否,否,是,现网,3,3,0.02,语音,室分,室内,写字楼,120.722,30.744,中兴,派单
8月,湖州,吴兴,22319,北向性能,RRC重建比质差,质量,20.98,高,否,否,否,是,现网,3,3,0,数据,室外,室外,城区道路,120.006,30.851,华为,派单
7月,湖州,吴兴,22306,北向性能,无线切换质差,质量,93.82,高,否,否,否,是,现网,3,3,0.01,数据,室外,室外,城区道路,120.174,30.817,华为,派单
7月,湖州,吴兴,22319,北向性能,无线切换质差,质量,84.6,高,否,否,否,是,现网,3,6,0,数据,室外,室外,城区道路,120.029,30.803,华为,派单
8月,湖州,吴兴,22319,北向性能,无线切换质差,质量,86.93,高,否,否,否,是,现网,4,4,0,数据,室外,室外,城区道路,120.029,30.803,华为,派单
9月,湖州,吴兴,22312,北向性能,RRC重建比质差,质量,33.02,高,否,否,否,是,现网,4,4,0.01,数据,室外,室外,城区道路,120.029,30.803,华为,派单
8月,湖州,吴兴,26660,北向性能,无线切换质差,质量,93.09,高,否,否,否,是,现网,3,14,0,数据,室外,室外,城区道路,120.032,30.659,华为,派单
8月,湖州,吴兴,22319,北向性能,无线切换质差,质量,92.42,高,否,否,否,是,现网,3,3,0,数据,室外,室外,城区道路,120.014,30.888,华为,派单
7月,湖州,吴兴,22319,北向性能,无线切换质差,质量,92.54,高,否,否,否,是,现网,3,3,0.01,数据,室外,室外,城区道路,120.011,30.899,华为,派单
10月,湖州,吴兴,22312,北向性能,无线切换质差,质量,91.84,高,否,是,否,是,现网,5,7,0.01,数据,室外,室外,城区道路,120.011,30.899,华为,派单
9月,湖州,吴兴,22312,北向性能,无线切换质差,质量,88.01,高,否,是,否,是,现网,7,33,0.01,数据,室外,室外,村庄,120.009,30.833,华为,派单
9月,湖州,吴兴,22312,北向性能,无线切换质差,质量,90.91,高,否,是,否,是,现网,5,25,0.01,数据,室外,室外,村庄,120.018,30.819,华为,派单
8月,湖州,吴兴,22319,北向性能,无线切换质差,质量,88.68,高,否,否,否,是,现网,6,20,0.01,数据,室外,室外,村庄,120.018,30.819,华为,派单
10月,湖州,吴兴,22314,SEQ,CSFB回落质差,质量,72.35,高,否,否,否,是,现网,5,12,0.02,语音,室外,室外,城区道路,120.356,30.943,华为,派单
7月,湖州,吴兴,26541,北向性能,无线接通质差,质量,96.21,高,否,否,否,是,现网,3,2,0,数据,室分,室内,低层居民区,120.252,30.848,华为,派单
7月,湖州,南浔,26413,北向性能,无线切换质差,质量,92.97,高,否,否,否,是,现网,4,7,0.01,数据,室外,室外,工业园区,120.423,30.894,华为,派单
9月,湖州,南浔,26403,北向性能,无线接通质差,质量,95.4,高,否,是,否,是,现网,5,9,0.01,数据,室外,室外,村庄,120.436,30.836,华为,派单
8月,湖州,南浔,22306,北向性能,RRC重建比质差,质量,13.57,高,否,否,否,是,现网,5,5,0.01,数据,室外,室外,党政军机关,120.158,30.779,华为,派单
10月,湖州,南浔,22306,北向性能,RRC重建比质差,质量,11.07,高,否,否,否,是,现网,4,4,0.01,数据,室外,室外,企事业单位,120.327,30.781,华为,派单
8月,湖州,南浔,26403,北向性能,无线切换质差,质量,92.94,高,否,否,否,是,现网,3,9,0,数据,室外,室外,郊区道路,120.364,30.816,华为,派单
7月,湖州,南浔,26403,北向性能,RRC重建比质差,质量,11.7,高,否,否,否,是,现网,4,7,0.01,数据,室外,室外,郊区道路,120.357,30.828,华为,派单
9月,湖州,南浔,22306,北向性能,RRC重建比质差,质量,14.01,高,否,否,否,是,现网,3,3,0.01,数据,室外,室外,低层居民区,120.318,30.813,华为,派单
7月,湖州,德清,22313,北向性能,无线切换质差,质量,91.74,高,否,否,否,是,现网,3,13,0.01,数据,室外,室外,城区道路,120.065,30.565,华为,派单
10月,湖州,德清,22313,北向性能,无线切换质差,质量,90.48,高,否,是,否,是,现网,5,6,0.01,数据,室外,室外,城区道路,120.065,30.565,华为,派单
7月,湖州,德清,22313,北向性能,无线切换质差,质量,86.9,高,否,否,否,是,现网,3,3,0,数据,高速,室外,高速公路,120.038,30.611,华为,派单
8月,湖州,德清,22313,北向性能,无线切换质差,质量,88.37,高,否,否,否,是,现网,3,4,0,数据,高速,室外,高速公路,120.038,30.611,华为,派单
9月,湖州,安吉,22308,北向性能,RRC重建比质差,质量,15.57,高,否,否,否,是,现网,4,4,0.01,数据,室外,室外,党政军机关,119.47,30.507,华为,派单
8月,湖州,长兴,26406,北向性能,RRC重建比质差,质量,14.42,高,否,否,否,是,现网,3,3,0.01,数据,室外,室外,工业园区,119.916,31.016,华为,派单
7月,湖州,长兴,26537,北向性能,RRC重建比质差,质量,17.18,高,否,否,否,是,现网,3,6,0.01,数据,室外,室外,高层居民区,119.894,31.002,华为,派单
